text,character,scene,order,season,episode,conversation,sentiment,sentiment_class,objectivity,objectivity_class,lda_topic,lda_keywords,nmf_topic,nmf_keywords,x_coord,y_coord,z_coord,scene_inc
"Daddy, I just... I can’t marry him! I’m sorry. I just don’t love him. Well, it matters to me! Look Daddy, it’s my life. Well maybe I’ll just stay here with Monica. Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",Rachel Green,s01_e01_c02,10102,1,1,2,0.140625,NEUTRAL,0.8,SUBJECTIVE,9,ross don mean gonna right yeah oh just okay know,1,ve didn think want right like mean don just know,6.304741859436035,5.9503021240234375,4.7512054443359375,1
"You can see where he’d have trouble. Right, you’re not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don’t feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture. Okay, sure.",Ross Geller,s01_e01_c02,10102,1,1,2,0.20367965367965368,POSITIVE,0.4465247715247715,NEUTRAL,6,really say don hi look know just like gonna okay,4,time wanna baby good umm ll let look right okay,7.408219814300537,6.547708034515381,5.203053951263428,1
Are you kidding? I’m trained for nothing! I was laughed out of twelve interviews today.,Rachel Green,s01_e01_c13,10113,1,1,13,0.7,STRONGLY POSITIVE,0.2,STRONGLY OBJECTIVE,6,really say don hi look know just like gonna okay,5,did umm night wow wanna wha um rach huh uh,8.343554496765137,4.353696346282959,3.784539222717285,2
You got a job?,Ross Geller,s01_e01_c13,10113,1,1,13,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,4,right ross mean okay ve got just oh don know,9,ugh wait thank don great need think come really ross,8.418174743652344,4.317697048187256,3.7475578784942627,2
"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want. Hey Mon, look what I just found on the floor. What? Sorry- No, you have it, really, I don’t want it- Okay. I knew. I did. Yeah, maybe... Goodnight.",Rachel Green,s01_e01_c14,10114,1,1,14,-0.02250000000000001,NEUTRAL,0.6775,SUBJECTIVE,1,come really good guys know don just yeah uh oh,3,honey yes guys love great come thank sorry god oh,9.129060745239258,3.728627920150757,1.6088299751281738,3
"Come on, you made coffee! You can do anything! C’mon, cut. Cut, cut, cut,... No no no, go- Split it? Okay. You know you probably didn’t know this, but back in high school, I had a, um, major crush on you. You did! Oh.... I always figured you just thought I was Monica’s geeky older brother. Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe? Okay... okay, maybe I will... Goodnight.",Ross Geller,s01_e01_c14,10114,1,1,14,0.32047916666666665,POSITIVE,0.5273333333333333,NEUTRAL,7,right uh know don like think ross just oh okay,4,time wanna baby good umm ll let look right okay,6.522951602935791,6.1712260246276855,4.422028064727783,3
So what are you gonna do?,Rachel Green,s01_e02_c03,10203,1,2,3,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,9,ross don mean gonna right yeah oh just okay know,8,like doing sure make great right weird just come gonna,7.865090847015381,3.4851865768432617,2.952035427093506,4
"Well, Carol says she and Susan want me to be involved, but if I’m not comfortable with it, I don’t have to be involved.. basically it’s entirely up to me. I have no idea. No matter what I do, though, I’m still gonna be a father.",Ross Geller,s01_e02_c03,10203,1,2,3,-0.1,NEUTRAL,0.7125,SUBJECTIVE,7,right uh know don like think ross just oh okay,8,like doing sure make great right weird just come gonna,7.30877161026001,6.764878273010254,3.9828927516937256,4
"I’m just cleaning up. Uh.. okay, sure! Thanks! Oh.. a little.. A lot. So, got any advice? Y’know, as someone who’s recently been- dumped? Oh, you’ve got Carol tomorrow.. When did it get so complicated? Remember when we were in high school together? I mean, didn’t you think you were just gonna meet somone, fall in love- and that’d be it? ..Ross? Oh! Man, I never thought I’d be here..",Rachel Green,s01_e02_c05,10205,1,2,5,0.12888888888888891,NEUTRAL,0.5740432098765431,NEUTRAL,2,don right got ve ross just know okay oh yeah,3,honey yes guys love great come thank sorry god oh,6.3242998123168945,6.070639610290527,3.8028807640075684,5
"D’ya.. uh.. d’ya need any help? Anyway.. um.. So, you- uh- you nervous about Barry tomorrow? Mm-hmm.. Mm. Well, you may wanna steer clear of the word ’dumped’. Chances are he’s gonna be this, this broken shell of a man, y’know, so you should try not to look too terrific, I know it’ll be hard. Or, y’know, uh, hey!, I’ll go down there, and I’ll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN... Got me. Yeah. Yes, yes! Me either...",Ross Geller,s01_e02_c05,10205,1,2,5,-0.13668981481481482,NEUTRAL,0.43564814814814806,NEUTRAL,9,ross don mean gonna right yeah oh just okay know,5,did umm night wow wanna wha um rach huh uh,6.474423885345459,5.91149377822876,3.7708330154418945,5
"I mean, it-it was like, it was like he made us into a team.",Rachel Green,s01_e03_c06,10306,1,3,6,-0.3125,NEGATIVE,0.6875,SUBJECTIVE,4,right ross mean okay ve got just oh don know,1,ve didn think want right like mean don just know,7.112768650054932,4.410477161407471,4.577836990356445,6
"Yeah, it’s his, uh, innate Alan-ness that-that-that we adore.",Ross Geller,s01_e03_c06,10306,1,3,6,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,3,just ok don god did yeah know wait oh uh,5,did umm night wow wanna wha um rach huh uh,7.264409065246582,4.961006164550781,4.8506269454956055,6
”Indeed there isn’t”... I should really get back to work.,Rachel Green,s01_e03_c09,10309,1,3,9,0.1,NEUTRAL,0.1,STRONGLY OBJECTIVE,6,really say don hi look know just like gonna okay,9,ugh wait thank don great need think come really ross,8.600462913513184,4.379775524139404,2.3854639530181885,7
A thumb?!,Ross Geller,s01_e03_c09,10309,1,3,9,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,1,ve didn think want right like mean don just know,8.039834976196289,3.7043495178222656,1.0048524141311646,7
Yeah.,Rachel Green,s01_e03_c11,10311,1,3,11,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,2,don right got ve ross just know okay oh yeah,2,mean hear sure really didn going weird got good yeah,9.625444412231445,3.375711679458618,1.208009123802185,8
If only he were a woman.,Ross Geller,s01_e03_c11,10311,1,3,11,0.0,NEUTRAL,1.0,STRONGLY SUBJECTIVE,10,big um yeah building just thing joey think monica chandler,5,did umm night wow wanna wha um rach huh uh,7.279141426086426,4.680066108703613,4.8382110595703125,8
Remember when we went to Central Park and rented boats?.. That was fun.,Rachel Green,s01_e03_c14,10314,1,3,14,0.15,NEUTRAL,0.225,OBJECTIVE,5,rach just know um little want fine don hey uh,1,ve didn think want right like mean don just know,7.459437847137451,3.3719475269317627,3.3121368885040283,9
Yeah. He could row like a viking.,Ross Geller,s01_e03_c14,10314,1,3,14,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,2,don right got ve ross just know okay oh yeah,2,mean hear sure really didn going weird got good yeah,7.294240474700928,4.653813362121582,4.861061096191406,9
I’ve got magic beans. Never-never mind.,Rachel Green,s01_e04_c16,10416,1,4,16,0.5,POSITIVE,1.0,STRONGLY SUBJECTIVE,4,right ross mean okay ve got just oh don know,7,monica looks ve think got jill believe really guys hi,8.018616676330566,5.2953596115112305,2.1336684226989746,10
"Okay, Monica: Right foot red. Green. To the green.",Ross Geller,s01_e04_c16,10416,1,4,16,0.07714285714285712,NEUTRAL,0.3271428571428571,OBJECTIVE,9,ross don mean gonna right yeah oh just okay know,4,time wanna baby good umm ll let look right okay,7.310193061828613,7.205140113830566,4.179401397705078,10
"Yeah, well, it’s a Mercedes if I move back home. Oh, it was horrible. He called me young lady. Oh, big glamour night. Me and Monica at Laundorama. Who? Don’t you have a laundry room in your building? Sure.",Rachel Green,s01_e05_c02,10502,1,5,2,-0.08,NEUTRAL,0.47777777777777775,NEUTRAL,3,just ok don god did yeah know wait oh uh,3,honey yes guys love great come thank sorry god oh,7.066619873046875,5.472763538360596,5.074125289916992,11
"Oh, yeah, last week you had a wonderful, nutty, chocolatey kind of a cakey pie thing. Nothing, just, just, I’m fine. That guy, he burns me up. Oh, you uh, you wanna hear a freaky coincidence? Guess who’s doing laundry there too? Me. Was that not clear? Hey, why don’t, um, why don’t I just join you both, here? Yes, I do have a laundry room in my building, um, but there’s a.... rat problem. Apparently they’re attracted to the dryer sheets, and they’re goin’ in fine, but they’re comin’ out all.... fluffy. Anyway, say, sevenish?",Ross Geller,s01_e05_c02,10502,1,5,2,0.2791666666666666,POSITIVE,0.5125000000000001,NEUTRAL,1,come really good guys know don just yeah uh oh,3,honey yes guys love great come thank sorry god oh,7.226006984710693,5.659979343414307,2.236290693283081,11
"Hi, uh, nothing. That horrible woman just took my machine. Yeah, but, there were no suds. Well, you know, no suds, no save. That was amazing. I can’t even send back soup. Oh god. Oh, am I being like a total laundry spaz? I mean, am I supposed to use like one machine for shirts and another machine for pants? Well, not myself, but I know other people that have. Ok, you caught me. I’m a laundry virgin. Ok, Well, what about these are white cotton panties. Would they go with whites or delicates?",Rachel Green,s01_e05_c07,10507,1,5,7,0.018055555555555564,NEUTRAL,0.5236111111111111,NEUTRAL,8,like come look hey yeah ross ok just oh know,10,guy alright rach ya look good hang fine really ok,7.0533552169799805,5.466769218444824,2.038113594055176,12
"Was your basket on top? So? No suds? Excuse me, hold on a second. That’s my friend’s machine. Well, that’s because you’re such a sweet, gentle, uh...Do you, uh, do you...Oh, hey, uh you must need detergent. Uberveiss. It’s new, it’s German, it’s extra-tough. Rach, have you never done this before? Uh, well, don’t worry, I’ll use the gentle cycle. Ok, um, basically you wanna use one machine for all your whites, a whole nother machine for colors, and a third for your uh, your uh, delicates, and that would be your bras and your under-panty things. Uh, that, that, that would be a judgment call.",Ross Geller,s01_e05_c07,10507,1,5,7,0.16969696969696968,NEUTRAL,0.38787878787878793,OBJECTIVE,5,rach just know um little want fine don hey uh,5,did umm night wow wanna wha um rach huh uh,7.104437351226807,5.638193130493164,2.1021766662597656,12
"Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn’t anything I can’t do. What uh-oh? Ross, what’s the matter? Come on, show me. Oh, everything’s pink. Except it didn’t. It happened to me. Oh, god, I’m gonna look like a big marshmallow peep. What am I doing? What am I doing? My father’s right. I can’t live on my own! I can’t even do laundry!",Rachel Green,s01_e05_c12,10512,1,5,12,0.21773088023088025,POSITIVE,0.5928571428571429,NEUTRAL,8,like come look hey yeah ross ok just oh know,3,honey yes guys love great come thank sorry god oh,7.077549934387207,5.686538219451904,2.1614911556243896,13
"That does not sound stupid to me. You know, it’s like the first time I had to make dinner for myself, after Carol left me? I’m sorry, that’s all the time we have. Next on Ross... Uh-oh. Uh-oh, uh-oh, the laundry’s done. It’s, uh, it’s a song. The laundry song that we sing. Uh-oh the laundry’s done, uh-oh, uh-oh. Nothing, nothing. Lee-lo, the laundry’s done. All right, all right, it’s just that you left a red sock in with all your whites, and now, everything’s kinda pink. Yeah, uh, except for the red sock, which is still red. I’m sorry, please don’t be upset, it could happen to anyone.",Ross Geller,s01_e05_c12,10512,1,5,12,-0.0913265306122449,NEUTRAL,0.364625850340136,OBJECTIVE,1,come really good guys know don just yeah uh oh,5,did umm night wow wanna wha um rach huh uh,7.0967817306518555,5.645000457763672,2.256685733795166,13
"Oh, I guess. Except everything looks like jammies now. I could not have done this without you. Are you sure?",Rachel Green,s01_e05_c15,10515,1,5,15,0.5,POSITIVE,0.8888888888888888,STRONGLY SUBJECTIVE,7,right uh know don like think ross just oh okay,3,honey yes guys love great come thank sorry god oh,9.046896934509277,4.363925933837891,1.1250020265579224,14
"You got the clothes clean. Now that’s the important part. You were incredible! Brand new woman, ladies and gentlemen. No.",Ross Geller,s01_e05_c15,10515,1,5,15,0.4757575757575757,POSITIVE,0.7636363636363637,SUBJECTIVE,10,big um yeah building just thing joey think monica chandler,2,mean hear sure really didn going weird got good yeah,6.878114700317383,4.50852108001709,2.010643482208252,14
"Oh, are you sure you’re ok? Does it still hurt?",Rachel Green,s01_e05_c16,10516,1,5,16,0.5,POSITIVE,0.6944444444444444,SUBJECTIVE,8,like come look hey yeah ross ok just oh know,10,guy alright rach ya look good hang fine really ok,7.030289649963379,5.182185649871826,2.1121957302093506,15
Yeah. Yeah.,Ross Geller,s01_e05_c16,10516,1,5,16,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,2,don right got ve ross just know okay oh yeah,2,mean hear sure really didn going weird got good yeah,9.551032066345215,3.563591718673706,1.3296946287155151,15
"Tah-daaah! Well, whaddya think?",Rachel Green,s01_e06_c04,10604,1,6,4,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,7,right uh know don like think ross just oh okay,9,ugh wait thank don great need think come really ross,8.009612083435059,4.731775760650635,1.1423392295837402,16
"Oh yeah, nobody knows. And we’re not supposed to ask.",Ross Geller,s01_e06_c04,10604,1,6,4,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,2,mean hear sure really didn going weird got good yeah,8.793210983276367,3.733924627304077,0.7134851813316345,16
"Alright, somebody. There, well, see? Barry wouldn’t even kiss me on a miniature golf course. No, he said we were holding up the people behind us. I mean, do you think there are people who go through life never having that kind of... Yeah right. OK. You don’t. Really? You do? Oh Ross, you’re so great. What are you shushing? Ahhhh! Huh.",Rachel Green,s01_e07_c08,10708,1,7,8,0.26760204081632655,POSITIVE,0.6104591836734693,SUBJECTIVE,9,ross don mean gonna right yeah oh just okay know,10,guy alright rach ya look good hang fine really ok,7.309460639953613,5.48794412612915,3.847766160964966,17
"Disneyland, 1989, ’It’s a Small World After All.’ Step back. Well, it was the only thing to do there that didn’t have a line. Come on. And you didn’t marry him because...? Probably. But you know, I’ll tell you something. Passion is way overrated. It is. Eventually, it kind of... burns out. But hopefully, what you’re left with is trust, and security, and... well, in the case of my ex-wife, lesbianism. So, you know, for all of those people who miss out on that passion... thing, there’s all that other good stuff. But, um... I don’t think that’s going to be you. Uh-uh. See, I see.... big passion in your future. Mmmm. I do. We’re shushing... because... we’re trying to hear something. Listen. Don’t you hear that? See?",Ross Geller,s01_e07_c08,10708,1,7,8,0.10277777777777777,NEUTRAL,0.3888888888888889,OBJECTIVE,1,come really good guys know don just yeah uh oh,5,did umm night wow wanna wha um rach huh uh,5.685315132141113,5.606038570404053,4.277913570404053,17
"Hmmm... this is so nice. OK. Ohhh!!!! Oh, look at the little cat!",Rachel Green,s01_e07_c11,10711,1,7,11,0.4552083333333334,POSITIVE,0.6666666666666666,SUBJECTIVE,1,come really good guys know don just yeah uh oh,10,guy alright rach ya look good hang fine really ok,7.72868013381958,4.846543312072754,1.0641460418701172,18
"OK, I have a question. Well, actually, it’s not so much a question as.. more of a general wondering... ment. OK. Here goes. For a while now, I’ve been wanting to, um.... Yes, yes, that’s right... What? Ow!",Ross Geller,s01_e07_c11,10711,1,7,11,0.30119047619047623,POSITIVE,0.45595238095238094,NEUTRAL,4,right ross mean okay ve got just oh don know,10,guy alright rach ya look good hang fine really ok,9.072351455688477,3.9618701934814453,1.0699363946914673,18
During a blackout? He’d get trampled!,Rachel Green,s01_e07_c12,10712,1,7,12,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,1,ve didn think want right like mean don just know,7.381904125213623,4.786321640014648,4.700569152832031,19
Yeah?,Ross Geller,s01_e07_c12,10712,1,7,12,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,2,don right got ve ross just know okay oh yeah,2,mean hear sure really didn going weird got good yeah,9.57233715057373,3.3301377296447754,1.404771327972412,19
"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica. Oh... Italy, I think. Well, the cat... the cat turned out to be Paolo’s cat!",Rachel Green,s01_e07_c16,10716,1,7,16,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,3,honey yes guys love great come thank sorry god oh,6.674363136291504,5.6212263107299805,4.051599502563477,20
"Lucky sixes.... So, um... where did Paolo come from? No, I mean tonight, in the building. Suddenly. Into our lives. That, that is funny... .... and Rachel keeps touching him.",Ross Geller,s01_e07_c16,10716,1,7,16,0.24791666666666665,POSITIVE,0.7041666666666667,SUBJECTIVE,9,ross don mean gonna right yeah oh just okay know,1,ve didn think want right like mean don just know,6.526337623596191,5.27508544921875,3.8805150985717773,20
"I have absolutely no idea. Oh my God, you guys, what am I doing? What am I doing? This is so un-me!",Rachel Green,s01_e07_c18,10718,1,7,18,-0.125,NEUTRAL,0.9,STRONGLY SUBJECTIVE,1,come really good guys know don just yeah uh oh,3,honey yes guys love great come thank sorry god oh,8.021452903747559,4.147031784057617,1.5662144422531128,21
